Publish_Dates,Mains,New_Desks,Section_Names
2001-11-09,Does Enron Trust Its New Numbers? It Doesn't Act Like It,Business/Financial Desk,Business
2002-03-21,Some Houstonians Whom Enron Called Friends,Business/Financial Desk,Business
2005-01-08,Ex-Directors Of Enron To Chip In On Settlement,Business/Financial Desk,Business
2006-05-26,Two Enron Chiefs Are Convicted in Fraud and Conspiracy Trial,Business,Business Day
2006-04-21,Which Picture of Skilling Will Enron Jurors Believe?,Business/Financial Desk,Business
2006-01-25,Hard Times Haunt Enron's Ex-Workers; Few Find Jobs of Equal Stature Years After Company's Collapse,Business/Financial Desk,Business
2002-02-18,Enron Pursued Plan To Forge Close Ties To Gore Campaign,National Desk,Front Page; U.S.
2002-02-17,The Nation; Why a Scandal Became a Spectacle,Week in Review Desk,Week in Review
2002-02-16,LAY SOLD SHARES FOR $100 MILLION,Business/Financial Desk,Front Page; Business
2002-02-10,How Will Washington Read the Signs?,Money and Business/Financial Desk,Business
2002-02-02,Son and Sister Of Enron Chief Secured Deals,Business/Financial Desk,Front Page; Business
2007-12-28,Entertainer and Fighter Is Clemens’s Lead Lawyer,Sports,Sports
2007-03-20,Court Rejects Suit Against Enron Banks,Business,Business Day
2006-11-10,Fastow Gets His Moment in the Sun,Business,Business Day
2006-09-30,Fastow’s Long Walk to Less Time,Business,Business Day
2006-04-11,"Skilling, on the Stand, Implies Fraud Was Unnecessary",Business/Financial Desk,Business
2006-03-23,Jury Told Lay Lied On Enron,Business/Financial Desk,Business
2006-01-26,Big Test Looms For Prosecutors At Enron Trial,Business/Financial Desk,Front Page; Business
2004-07-09,Lay Pleads Not Guilty,Business/Financial Desk,Front Page
2004-01-14,Couple Set To Plead Guilty In Enron Case,Business/Financial Desk,Business
2002-05-08,How Enron Got California To Buy Power It Didn't Need,Business/Financial Desk,Business
2002-02-09,"Enron, Preaching Deregulation, Worked the Statehouse Circuit",Business/Finacial Desk,Business
2002-02-05,Deal at Enron Gave Insiders Fast Fortunes,Business/Financial Desk,Front Page; Business
2002-01-12,Bush and Democrats Disputing Ties to Enron,Business/Financial Desk,Business; Washington
2001-11-09,Does Enron Trust Its New Numbers? It Doesn't Act Like It,Business/Financial Desk,Business
2006-05-03,Did Ken Lay Demonstrate Credibility?,Business,Business Day
2006-04-04,"In Enron Trial, A Calculated Risk",Business/Financial Desk,Business
2005-12-17,Living In The Enron Dream World,Business/Financial Desk,Business
2004-02-14,A Criminal Indictment Against Skilling of Enron Is Said to Be in the Works,Business/Financial Desk,Business
2003-02-09,"Company Man to the End, After All",Money and Business/Financial Desk,Business
2002-07-09,"Enron Trader Had a Year To Boast of, Even If . . .",Business/Financial Desk,Business
2002-03-17,"Annual Reports: More Pages, But Better?",Money and Business/Financial Desk,Business
2002-02-11,EX-CHIEF OF ENRON WILL NOT TESTIFY BEFORE CONGRESS,Business/Financial Desk,Front Page; Business
2002-03-10,The Brick Stood Up Before. But Now?,Money and Business/Financial Desk,Business
2002-02-21,Where Tips Meet Truth (Sometimes),Circuits,Technology
1991-05-19,Bottom-Fishing in the Gas Patch,Financial Desk,Business
2006-07-06,"Enron Founder, Awaiting Prison, Dies in Colorado",Business,Business Day
2006-05-19,What Fraud? All Was Fine at Enron,Business,Business Day
2006-01-15,"Energy Trading, Post-Enron",SundayBusiness,Business Day
2006-01-27,"There's No E in Houston; As an Enron Trial Approaches, Residents Prefer to Focus on the Present",Business/Financial Desk,Business
2004-01-08,EX-ENRON FIGURE REPORTEDLY NEAR A PLEA OF GUILTY,Business/Financial Desk,Front Page; Business
2002-02-07,LAWYER AT ENRON WARNED OFFICIALS OF DUBIOUS DEALS,National Desk,Front Page; U.S.
2002-01-26,"Army Secretary Should Testify Before Congress, Democrat Says",Business/Financial Desk,Business
2002-05-07,"$11 Billion Artillery System Is Dead, Officials Say",National Desk,Front Page; U.S.
2002-04-17,Enron Staff Is Biding Time At a Company That Isn't There,Business/Financial Desk,Business
2002-04-14,The Taming of the Finance Officers,Money and Business/Financial Desk,Business
2002-03-31,Ideas & Trends: Empty Nest Eggs; Do You Plan To Retire? Think Again,Week in Review Desk,Week in Review
2002-02-10,Scandal's Ripple Effect: Earnings Under Threat,Money and Business/Financial Desk,Business
2006-02-14,"For Enron, Unwitting Assistance",Business/Financial Desk,Business
2002-11-15,Executive Who Warned Enron Of Troubles Is Leaving Company,Business/Financial Desk,Business
2002-02-07,Darth Vader. Machiavelli. Skilling Set Intense Pace.,Business/Financial Desk,Business
2002-02-04,"As Enron Purged Its Ranks, Dissent Was Swept Away",Business/Financial Desk,Business
2002-01-14,A Bubble No One Wanted to Pop,Business/Financial Desk,Front Page; Business
2001-11-29,"In Turbulent Bond Market, Enron's Woes Exacerbate Turmoil",Business/Financial Desk,Business
2002-01-21,Enron Fired Workers for Complaining Online,Business/Financial Desk,Technology; Business
2002-01-13,Audacious Climb to Success Ended in a Dizzying Plunge,National Desk,U.S.
2001-12-30,Even the Smartest Money Can Slip Up,Money and Business/Financial Desk,Technology; Business
2001-12-02,"With Enron's Fall, Many Dominoes Tremble",Money and Business/Financial Desk,Technology; Business
2005-12-14,Enron's Chief Offers His Case,Business/Financial Desk,Business
2005-01-02,"Guilty, He Said. Now What?",Connecticut Weekly Desk,New York and Region
2002-03-10,The Brick Stood Up Before. But Now?,Money and Business/Financial Desk,Business
2006-11-10,Fastow Gets His Moment in the Sun,Business,Business Day
2006-05-26,The Jurors Who Saw Through the Sideshow,Business,Business Day
2002-01-20,Who Will Needle Regulators Now That Enron's Muzzled?,Money and Business/Financial Desk,Business
2002-01-13,"Before Debacle, Enron Insiders Cashed In $1.1 Billion in Shares",Business/Financial Desk,Business
2001-12-22,Former Head of Enron Denies Wrongdoing,Business/Financial Desk,Business
2001-09-09,A Self-Inflicted Wound Aggravates Angst Over Enron,Money and Business/Financial Desk,Business
2006-07-06,Lay's Death Complicates Efforts to Seize Assets,Business,Business Day
2006-02-02,Ex-Executive Says Enron Fudged Data,Business/Financial Desk,Business
2004-04-08,Lea Fastow Withdraws Plea Related to Enron Case,Business/Financial Desk,None
2002-09-23,The Findings Against Enron,Business/Financial Desk,Business
2002-05-07,"$11 Billion Artillery System Is Dead, Officials Say",National Desk,Front Page; U.S.
2002-04-17,Enron Staff Is Biding Time At a Company That Isn't There,Business/Financial Desk,Business
2002-04-14,The Taming of the Finance Officers,Money and Business/Financial Desk,Business
2002-03-31,Ideas & Trends: Empty Nest Eggs; Do You Plan To Retire? Think Again,Week in Review Desk,Week in Review
2006-01-31,"Enron Jury Chosen in First Day, Setting Stage for Opening Arguments",Business/Financial Desk,Business
2006-01-11,Prosecutors Shift Focus On Enron,Business/Financial Desk,Business
2001-10-28,Once-Mighty Enron Strains Under Scrutiny,Money and Business/Financial Desk,Business
2001-08-15,Enron's Chief Executive Quits After Only 6 Months in Job,Business/Financial Desk,Business
2006-03-24,Testimony On Enron Weakened A Day Later,Business/Financial Desk,Business
2005-12-28,PLEA DEAL IS SEEN FOR ENRON FIGURE,Business/Financial Desk,Front Page; Business
2004-06-27,"Crimes of Others Wrecked Enron, Ex-Chief Says",National Desk,U.S.
2002-01-24,Enron Chief Quits Under Pressure And Calls Inquiries a Distraction,Business/Financial Desk,Front Page; Business
2002-01-21,Enron Fired Workers for Complaining Online,Business/Financial Desk,Technology; Business
2002-01-13,Audacious Climb to Success Ended in a Dizzying Plunge,National Desk,U.S.
2001-12-30,Even the Smartest Money Can Slip Up,Money and Business/Financial Desk,Technology; Business
2006-04-21,Which Picture of Skilling Will Enron Jurors Believe?,Business/Financial Desk,Business
2006-01-25,Hard Times Haunt Enron's Ex-Workers; Few Find Jobs of Equal Stature Years After Company's Collapse,Business/Financial Desk,Business
2001-12-02,"With Enron's Fall, Many Dominoes Tremble",Money and Business/Financial Desk,Technology; Business
2006-05-26,The Jurors Who Saw Through the Sideshow,Business,Business Day
2006-04-14,Jury Hears Indignation Of Skilling,Business/Financial Desk,Business
2006-03-06,"In the Chess Game of Enron, Lawyers Weigh Value of One Piece",Business/Financial Desk,Business
2005-12-29,Enron's Top Accountant Will Help Prosecutors,Business/Financial Desk,Business
2002-10-21,"A Powerful, Flawed Witness Against Enron",Business/Financial Desk,Business
2002-01-11,A Familiar Capital Script,National Desk,Front Page; U.S.
2001-11-29,Foundation Gives Way On Chief's Big Dream,Business/Financial Desk,Business; Washington
2000-06-30,"For a Generous Donor and Bush, The Support Is a Two-Way Street",National Desk,Front Page; U.S.
2006-01-31,"Enron Jury Chosen in First Day, Setting Stage for Opening Arguments",Business/Financial Desk,Business
2006-01-11,Prosecutors Shift Focus On Enron,Business/Financial Desk,Business
2003-03-06,Report Details Enron's Moves To Shift Assets,Business/Financial Desk,Business
2002-02-10,ENRON'S MANY STRANDS: The Company Unravels; Enron Buffed Image to a Shine Even as It Rotted From Within,Business/Financial Desk,Business
2002-01-24,Enron Chief Quits Under Pressure And Calls Inquiries a Distraction,Business/Financial Desk,Front Page; Business
1995-11-22,Tentative Pact Allows Enron To Continue Project in India,Business/Financial Desk,Business
2002-02-18,Enron Pursued Plan To Forge Close Ties To Gore Campaign,National Desk,Front Page; U.S.
2002-02-17,The Nation; Why a Scandal Became a Spectacle,Week in Review Desk,Week in Review
2002-02-16,LAY SOLD SHARES FOR $100 MILLION,Business/Financial Desk,Front Page; Business
2002-02-10,How Will Washington Read the Signs?,Money and Business/Financial Desk,Business
2006-05-19,"Out Sick for the Enron Trial, and Rethinking It",Business,Business Day
2006-01-30,"An Enron Jury Free of Grudges? Easy, Judge Says",National Desk,Front Page; U.S.
2005-12-09,Do Companies Need a Little Democracy?,Business/Financial Desk,Business
2002-12-25,"The Meter Runs In Enron Case, As the Lawyers Retain Lawyers",Business/Financial Desk,Business
2002-09-21,Lawyer Proves a Thorn for Enron's Partners,Business/Financial Desk,Business
2002-12-26,Enron Inquiry Is Now Examining Whether Company Inflated Assets,Business/Financial Desk,Front Page; Business
2002-08-22,"Friends Say Ex-Chief Despairs, Seeking Someone to Believe Him",Business/Financial Desk,Business
2002-03-09,Enron Sought To Raise Cash Two Years Ago,Business/Financial Desk,Business
2002-03-07,Army Official Kept Options On Enron Stock Until January,Business/Financial Desk,Business; Washington
2006-05-28,Are Enrons Bustin' Out All Over?,SundayBusiness,Business Day
2006-03-09,Fastow Testifies Lay Knew of Enron's Problems,Business/Financial Desk,Business
2006-02-22,"Enron Data Modified, Jury Is Told",Business/Financial Desk,Business
2003-05-01,New Charges Are Expected In Enron Case,Business/Financial Desk,Business
2003-03-18,4 at Merrill Accused Of an Enron Fraud,Business/Financial Desk,Business
2002-12-01,"ECONOMIC PULSE: The Southwest; Recession Strikes Texas, Too, But Not in Old Oil-Bust Way",National Desk,U.S.
2002-10-03,From Enron Fast Track To Total Derailment,Business/Financial Desk,Business
2002-06-10,Enthusiasm Waning in Congress For Tougher Post-Enron Controls,Business/Financial Desk,Front Page; Business
2002-05-12,Will It Be California Redux?,Money and Business/Financial Desk,Business
2002-03-01,House Panel Voices Doubts On Skilling,Business/Financial Desk,Business
2002-02-19,Congress's Scrutiny Shifts to Wall Street And Its Enron Role,Business/Financial Desk,Front Page; Business
2002-02-13,"Enron Paid Some, Not All, Deferred Compensation",Business/Financial Desk,Business
2002-02-05,ELECTRICITY CRISIS EASES IN NEW YORK,Metropolitan Desk,Front Page; New York and Region
2002-02-04,Talk of Crime Gets Big Push,Business/Financial Desk,Front Page; Business
2002-01-25,HOUSE VOTE IS SET ON CAMPAIGN BILL,National Desk,Front Page; U.S.
2002-01-22,The Urge to Punish Cheats: It Isn't Merely Vengeance,Science Desk,Science; Health
2006-06-04,The Enron Case That Almost Wasn't,SundayBusiness,Business Day
2006-04-27,Lay Loses His Cool On Stand,Business/Financial Desk,Business
2006-02-08,A Dream Comes to Earth In a Houston Courtroom; Head of Enron's Broadband Unit Is Set to Take the Stand,Business/Financial Desk,Business
2006-10-23,"The Guidelines Now Tougher, Skilling to Face Sentence Today",Business,Business Day
2010-03-02,Justices Hear Appeal of Ex-Chief of Enron,Business,Business Day
2005-07-16,Settlement Is Reached With Enron,Business/Financial Desk,Business
2002-12-26,Enron Inquiry Is Now Examining Whether Company Inflated Assets,Business/Financial Desk,Front Page; Business
2002-08-22,"Friends Say Ex-Chief Despairs, Seeking Someone to Believe Him",Business/Financial Desk,Business
2002-03-09,Enron Sought To Raise Cash Two Years Ago,Business/Financial Desk,Business
2002-03-07,Army Official Kept Options On Enron Stock Until January,Business/Financial Desk,Business; Washington
2002-02-26,"At Enron, Lavish Excess Often Came Before Success",Business/Financial Desk,Business
2002-02-15,"For Executives Of Enron Unit, The Skill Was in Leaving",Business/Financial Desk,Business
2002-02-09,Enron's Lay Is to Appear Before Panel,Business/Financial Desk,Business
2002-02-02,Response to 401(k) Proposals Follows Party Lines,Business/Financial Desk,Business
2002-01-21,ENRON CHIEF SAYS HIS SALE OF STOCK WAS TO PAY LOANS,Business/Financial Desk,Front Page; Business
2001-12-02,"Energy Customers; With a Manager Gone, Gaps to Be Bridged",Money and Business/Financial Desk,Business
2001-12-02,Beware Those One-Note 401(k)'s,Money and Business/Financial Desk,Business
2002-01-15,ENRON'S CHAIRMAN RECEIVED WARNING ABOUT ACCOUNTING,Business/Financial Desk,Front Page; Business
2002-08-22,"Friends Say Ex-Chief Despairs, Seeking Someone to Believe Him",Business/Financial Desk,Business
2002-03-09,Enron Sought To Raise Cash Two Years Ago,Business/Financial Desk,Business
2002-03-07,Army Official Kept Options On Enron Stock Until January,Business/Financial Desk,Business; Washington
2002-02-26,"At Enron, Lavish Excess Often Came Before Success",Business/Financial Desk,Business
2002-02-26,ENRON EXECUTIVE SAID TO BE AIDING IN FEDERAL INQUIRY,Business/Financial Desk,Front Page; Business
2002-01-26,Critic Who Quit Top Enron Post Is Found Dead,Business/Financial Desk,Front Page; Business
2002-01-20,How 287 Turned Into 7: Lessons in Fuzzy Math,Money and Business/Financial Desk,Business
2001-12-23,Chills in the Balance-Sheet Shadows,Money and Business/Financial Desk,Business
2002-01-25,Ex-Workers Say Unit's Earnings Were 'Illusory',Business/Financial Desk,Front Page; Business
2006-07-06,"Even at the End, Ken Lay Didn't Get It",Business,Business Day
2006-05-09,What Remains Unanswered at Enron Trial,Business,Business Day
2006-03-20,"Enron Prosecutors Have Another Key Witness, From Jail",Business/Financial Desk,Business
2006-03-16,Warning On Enron Is Recalled,Business/Financial Desk,Business
2006-02-01,"In Opening Arguments, an Enron Undone by Lies, or Panic",Business/Financial Desk,Business
2009-10-14,Court to Hear Ex-Enron Chief Appeal,Business,Business Day
2008-08-28,U.S. to Ease Pressure Tactic Over Legal Help for Employees,Business,Business Day
2006-01-19,"Ex-Enron Chief Helps Build His Defense, and an Office for His Lawyers",Business/Financial Desk,Business
2005-12-29,"In Enron Case, a Guilty Plea but No Certainties",Business/Financial Desk,Front Page; Business
2003-02-14,Wall St. Firms Are Faulted In Report on Enron's Taxes,Business/Financial Desk,Business
2002-06-23,Former Officials Say Enron Hid Gains During Crisis in California,Business/Financial Desk,Business
2002-02-10,The Nation: Oversight; The Biggest Casualty of Enron's Collapse: Confidence,Week in Review Desk,Week in Review
2002-02-08,Testimony From Enron Executives Is Contradictory,Business/Financial Desk,Front Page; Business
2002-02-06,The Financial Wizard Tied to Enron's Fall,Business/Financial Desk,Front Page; Business
2002-02-06,Investigators Buying Time For Inquiry,Business/Financial Desk,Business; Washington
2002-01-15,ENRON'S CHAIRMAN RECEIVED WARNING ABOUT ACCOUNTING,Business/Financial Desk,Front Page; Business
2006-05-28,The Other Legacy of Enron,WeekInReview,Week in Review
2006-05-26,"In Enron Case, a Verdict on an Era",Business,Business Day
2006-04-18,U.S. Takes First Shots At Skilling,Business/Financial Desk,Business
2006-04-05,"At the Enron Trial, Skilling Then vs. Skilling Now",Business/Financial Desk,Business
2004-07-10,Campaigns Battle on Values and Celebrity Barbs,National Desk,Movies; Front Page; U.S.
2002-10-18,Enron Trader Pleads Guilty To Conspiracy,Business/Financial Desk,Business
2002-02-24,Contracts So Complex They Imperil The System,Money and Business/Financial Desk,Business
2002-02-16,Letters Show Bush and Lay Shared Much,Business/Financial Desk,Education; Business
2001-04-11,ENRON PAYMENT DISPUTE,Business/Financial Desk,Business
2011-11-06,The 99% Onstage: Attention Must Be Paid,Arts&Leisure,Theater
2004-01-14,Enron Pleas Expected,Business/Financial Desk,Front Page; Business
2004-01-10,Enron Pleas Collapse,Business/Financial Desk,Front Page; Business
2002-01-17,Balancing Deregulation and Enron,Business/Financial Desk,Business
2002-01-21,MORE ON ENRON,Business/Financial Desk,Front Page; Business
2002-06-18,Officials Got a Windfall Before Enron's Collapse,Business/Financial Desk,Business
2002-02-27,The World According to Enron's Ex-Chief,Business/Financial Desk,Business
2010-03-02,Justices Hear Appeal of Ex-Chief of Enron,Business,Business Day
2002-01-10,Justice Dept. to Form Task Force To Investigate Collapse of Enron,Business/Financial Desk,Front Page; Business
2002-10-19,UBS Copes With Legacy Of Enron,Business/Financial Desk,Business
2002-04-20,Lone Ranger Of Auditors Fell Slowly Out of Saddle,Business/Financial Desk,Business
2001-11-09,Enron Admits to Overstating Profits by About $600 Million,Business/Financial Desk,Business
2002-02-26,Panel to Hear The Variations On the Theme Of Enron's Fall,Business/Financial Desk,Business
2001-11-14,THE MARKETS: Market Place; Enron Chief Will Give Up Severance,Business/Financial Desk,Business
2003-01-03,Senate Report Says Rubin Acted Legally in Enron Matter,Business/Financial Desk,Business
2002-07-23,Citigroup Is Linked to a Deal That Let Enron Skirt Rules,Business/Financial Desk,Front Page; Business
2002-01-31,A Video Study Of Enron Offers A Picture of Life Before the Fall,Business/Financial Desk,Business
2001-12-13,Enron Auditor Raises Specter of Crime,Business/Financial Desk,Business
2001-12-05,"With a Billion in Enron's Stock, Rich Wallet Is Suddenly Lighter",Business/Financial Desk,Business
2001-11-29,A Big Fall Evoking Nasty Old Memories Of a Run on a Bank,Business/Financial Desk,Front Page; Business
2001-11-21,Enron's Growing Financial Crisis Raises Doubts About Merger Deal,Business/Financial Desk,Front Page; Business
2001-11-10,"Rival to Buy Enron, Top Energy Trader, After Financial Fall",Business/Financial Desk,Front Page; Business
2001-10-04,World Business Briefing | Europe: Britain: Petroleum Purchase,Business/Financial Desk,Business
2005-06-11,CITIGROUP AGREES TO PAY $2 BILLION IN ENRON SCANDAL,Business/Financial Desk,Front Page; Business
2002-01-14,Fall of Enron Ends Its Dance With Houston,National Desk,Front Page; U.S.
2002-01-12,ENRON SOUGHT AID OF TREASURY DEPT. TO GET BANK LOANS,Business/Financial Desk,Front Page; Business
2002-01-11,ENRON CONTACTED 2 CABINET OFFICERS BEFORE COLLAPSING,National Desk,Front Page; U.S.
