Publish_Dates,Mains,New_Desks,Section_Names
2009-02-12T00:00:00Z,Deal Reached in Congress on $789 Billion Stimulus Plan,National,U.S.
2016-12-20T21:49:40+0000,Obama Bans Drilling in Parts of the Atlantic and the Arctic,National,U.S.
2017-01-11T15:33:33+0000,"Trump, a New Style of Fighter, Takes the Ring",National,U.S.
2009-02-17T00:00:00Z,"For Education Chief, Stimulus Means Power, Money and Risk",National,Education
2017-01-24T16:31:14+0000,Trump Revives Keystone Pipeline Rejected by Obama,National,U.S.
2016-12-27T02:05:59+0000,A Defiant Israel Vows to Expand Its Settlements,Foreign,World
2017-01-05T02:02:37+0000,Republicans’ 4-Step Plan to Repeal the Affordable Care Act,National,U.S.
2017-01-17T21:15:59+0000,Chelsea Manning to Be Released Early as Obama Commutes Sentence,National,U.S.
2017-02-03T18:40:53+0000,Trump Moves to Roll Back Obama-Era Financial Regulations,Business,Business Day
2017-01-02T10:00:27+0000,Weak Federal Powers Could Limit Trump’s Climate-Policy Rollback,Science,Science
2017-01-02T10:00:27+0000,Weak Federal Powers Could Limit Trump’s Climate-Policy Rollback,Science,Science
2017-01-13T10:00:25+0000,Chelsea Manning Describes Bleak Life in a Men’s Prison,National,U.S.
2016-12-31T17:08:33+0000,"Obama’s Last Days: Aiding Trump Transition, but Erecting Policy Roadblocks",National,U.S.
2017-01-12T11:00:26+0000,"Where I Live: Washington, D.C.",Travel,Travel
2009-02-08T00:00:00Z,Divisions Over the Competing Stimulus Bills,National,U.S.
2016-12-30T11:00:28+0000,Vladimir Putin Won’t Expel U.S. Diplomats as Russian Foreign Minister Urged,Foreign,World
2009-05-08T00:00:00Z,"GMAC, Among the Weakest, Seems in Line for a Bailout",Business,Business Day
2009-01-09T00:00:00Z,Senate Allies Fault Obama on Stimulus,National,U.S.
2016-12-30T02:34:00+0000,"Two Russian Compounds, Caught Up in History’s Echoes",Foreign,U.S.
2016-12-29T19:01:15+0000,Obama Strikes Back at Russia for Election Hacking,Foreign,U.S.
2009-02-10T00:00:00Z,Up Next for Bankers: A Flogging,Business,Business Day
2009-01-24T00:00:00Z,Obama Presses for Quick Jolt to the Economy,National,U.S.
2009-02-14T00:00:00Z,"Bipartisanship Isn’t So Easy, Obama Sees",National,U.S.
2009-02-04T00:00:00Z,Time to Steer 'Forceful Course' for Stimulus,Business,Business Day
2009-10-28T00:00:00Z,Big Lender GMAC Asks for More U.S. Aid,Business,Business Day
2009-02-14T00:00:00Z,Stimulus Bill Would Bestow New Aid to Many Workers,Business,Business Day
2009-02-04T00:00:00Z,Time to Steer 'Forceful Course' for Stimulus,Business,Business Day
2017-01-18T23:04:08+0000,"Obama Understood the Power of Art. And He Wanted You to Get It, Too.",Culture,Arts
2009-02-07T00:00:00Z,Senators Reach Deal on Stimulus Plan as Jobs Vanish,National,U.S.
2009-02-15T00:00:00Z,"In Gingrich Mold, a New Voice for Solid Republican Resistance",National,U.S.
2009-01-12T00:00:00Z,Obama Looks to History for Economic Message,National,U.S.
2009-02-14T00:00:00Z,Stimulus Bill Would Bestow New Aid to Many Workers,Business/Financial Desk,Business
2016-12-24T01:59:31+0000,"Obama, Trump and the Turf War That Has Come to Define the Transition",National,U.S.
2016-12-22T16:04:05+0000,Trump Pressures Obama Over U.N. Resolution on Israeli Settlements,Foreign,World
2009-12-15T00:00:00Z,"Wells Fargo to Repay U.S., a Coda to the Bailout Era",Business,Business Day
2016-12-28T16:57:41+0000,"Kerry Rebukes Israel, Calling Settlements a Threat to Peace",Foreign,U.S.
2009-02-15T00:00:00Z,"Obama, With a Pile of Chips",WeekInReview,Week in Review
2009-02-09T00:00:00Z,"Already Back on the Trail, Now to Sell a Stimulus Plan",National,U.S.
2009-03-24T00:00:00Z,U.S. Expands Plan to Buy Banks’ Troubled Assets,Business,Business Day
2009-02-17T00:00:00Z,Obama Gains Support From G.O.P. Governors,National,U.S.
2009-03-25T00:00:00Z,"The Start of a Crisis, Through the Lens of Avis",Business,Business Day
2009-03-25T00:00:00Z,"The Start of a Crisis, Through the Lens of Avis",Business,Business Day
2009-02-10T00:00:00Z,Geithner Said to Have Prevailed on the Bailout,Business,Business Day
2009-02-20T00:00:00Z,U.S. Tries a Trillion-Dollar Key for Locked Lending,Business,Business Day
2009-02-11T00:00:00Z,Bailout Plan: $2.5 Trillion and a Strong U.S. Hand,Business,Business Day
2009-05-08T00:00:00Z,"Findings, but No Final Word",Business,Business Day
2009-02-21T00:00:00Z,"First, Let’s Fix the Bonuses",Business,Business Day
2009-02-21T00:00:00Z,"First, Let’s Fix the Bonuses",Business,Business Day
2009-02-02T00:00:00Z,A State With a Wish List for Stimulus Spending,National,U.S.
2016-12-16T12:00:26+0000,"As Trump Signals Climate Action Pullback, Local Leaders Push Forward",Science,Science
2009-03-03T00:00:00Z,"The Case for Saving A.I.G., by A.I.G.",Business,Business Day
2009-02-06T00:00:00Z,Stimulus Talks Set to Continue After Centrists Push Cuts,National,U.S.
2009-01-30T00:00:00Z,Global Worries Over U.S. Stimulus Spending,Business,Business Day
2009-07-19T00:00:00Z,"In Washington, One Bank Chief Still Holds Sway",Business,Business Day
2016-12-24T17:15:35+0000,U.S. Transition Puts Israeli Focus Back on Palestinians,Foreign,World
2010-01-27T00:00:00Z,Two at Fed Had Doubts Over Payout by A.I.G.,Business,Business Day
2009-05-19T00:00:00Z,Wall St. Firm Draws Scrutiny as U.S. Adviser,Business,Business Day
2009-04-11T00:00:00Z,Showdown Seen Between Banks and Regulators,Business,Business Day
2009-02-21T00:00:00Z,Growing Worry on Rescue Takes a Toll on Banks,Business,Business Day
2009-02-04T00:00:00Z,"Rider Paradox: Surge in Mass, Drop in Transit",National,U.S.
2008-12-21T00:00:00Z,"As Outlook Dims, Obama Expands Recovery Plans",National,U.S.
2009-02-26T00:00:00Z,Government Offers Details of Bank Stress Test,Business,Business Day
2009-02-15T00:00:00Z,The Worst Misstep: Geithner Added to the Doubt,SundayBusiness,Business Day
2009-02-15T00:00:00Z,The Worst Misstep: Geithner Added to the Doubt,SundayBusiness,Business Day
2016-12-23T16:16:49+0000,"Rebuffing Israel, U.S. Allows Censure Over Settlements",Foreign,World
2009-04-09T00:00:00Z,U.S. May Enlist Small Investors in Bank Bailout,Business,Business Day
2009-03-25T00:00:00Z,Dissecting Bank Plan for a Way to Profit,Business,Business Day
2009-03-21T00:00:00Z,Toxic Asset Plan Foresees Big Subsidies for Investors,Business,Business Day
2009-02-13T00:00:00Z,What’s in the Stimulus Bill for You,Business,Your Money
2008-08-18T00:00:00Z,"For Convention, Obama’s Image Is All-American",National,U.S.
2008-06-18T00:00:00Z,"After Attacks, Michelle Obama Looks for a New Introduction",National,U.S.
2010-10-18T00:00:00Z,Obamas Rally for Democrats in Final Push,National,U.S.
2008-08-18T00:00:00Z,"For Convention, Obama’s Image Is All-American",National,U.S.
2008-06-18T00:00:00Z,"After Attacks, Michelle Obama Looks for a New Introduction",National,U.S.
2009-10-03T00:00:00Z,Rio de Janeiro Picked to Hold 2016 Olympics,Sports Desk,Front Page; Sports
2009-10-03T00:00:00Z,Rio de Janeiro Picked to Hold 2016 Olympics,Sports Desk,Front Page; Sports
2009-01-04T00:00:00Z,The Pleasure of His Company,Styles,Fashion & Style
2013-01-20T00:00:00Z,"Change Comes: After 4 Years, Friends See Shifts in the Obamas",National,U.S.
2009-04-16T00:00:00Z,Does Bo Know He’s Top Dog?,Styles,Fashion & Style
2009-04-16T00:00:00Z,Does Bo Know He’s Top Dog?,Styles,Fashion & Style
2010-02-14T00:00:00Z,He Breaks for Band Recitals,Styles,Fashion & Style
2013-01-20T00:00:00Z,"Change Comes: After 4 Years, Friends See Shifts in the Obamas",National,U.S.
2011-11-18T00:00:00Z,First Lady Takes On the Role of Staff Energizer,National,U.S.
2011-02-28T00:00:00Z,"White House Sweats, and He’s the Cause",National,U.S.
2011-01-25T00:00:00Z,Food Makers Devise Own Label Plan,Business,Business Day
2009-01-21T00:00:00Z,Nation's Many Faces in Extended First Family,National Desk,Front Page; U.S.; Washington
